
2018-05-11,liferay.com,pass
2018-05-18,liferay.com,pass
2018-05-25,liferay.com,pass
2018-09-07,liferay.com,fail
2018-09-14,liferay.com,fail
2018-09-21,liferay.com,fail
2018-09-28,liferay.com,fail
2018-10-05,liferay.com,fail
2018-10-12,liferay.com,fail
2018-10-19,liferay.com,fail
2019-08-02,liferay.com,fail
2019-08-09,liferay.com,fail
2019-08-16,liferay.com,fail
2019-08-23,liferay.com,fail
2019-08-30,liferay.com,fail
2019-09-06,liferay.com,fail
2019-09-13,liferay.com,fail
2019-11-15,liferay.com,fail
2019-11-22,liferay.com,fail
2019-11-29,liferay.com,fail
2019-12-06,liferay.com,fail
2019-12-13,liferay.com,fail
2019-12-20,liferay.com,fail
2019-12-27,liferay.com,fail
2020-01-03,liferay.com,fail
